Date,Event,Location,Venue,Organisers,Topic,Theme,Type,Attendees,Link,Pictures
20 April 2019,Level Up Talks,"Marsa, Tunis",Techvilla,Techvilla,Becoming a Great Software Engineer,Tech,Talk,13,https://www.facebook.com/events/2269021879785188/?,https://drive.google.com/drive/folders/1s6P0hPo4ATE8QICjNKCPb_HCbUzsgYnj?usp=sharing
16 April 2019,megatron,Manouba,ISAMM,Junior ISAMM,Sharing my Experience,Motivational,Talk,112,https://www.facebook.com/events/395680627920609/,https://drive.google.com/drive/folders/1l5NVgwReGGrBa0TrpDFigACLFqzuaY6e?usp=sharing
6 April 2019,Enigma,"Ghazela, Ariana",ESPRIT,ACM Esprit,Get recruited in AI,AI,Talk,114,https://www.facebook.com/events/293156501582257/,https://drive.google.com/drive/folders/1cjlgqWrMbv_mHIc-i77yJm6TqlXPkpqo?usp=sharing
23 March 2019,Startup Weekend Manouba,Manouba,Technopark ,ESEN Android ,Business Model Canvas,Business,Workshop,50,https://www.facebook.com/ameni.maghraoui.796/posts/2162612803995322,
27 February 2019,Seize It ESEN Forum,Manouba,Technopark ,Junior ESEN,Business Model Canvas,Business,Talk,17,https://www.facebook.com/events/2318130761545099/,TBC
10 February 2019,spark dauphine,"Tunis, Tunis",Dauphine,Spark,Entrepreneurship Ecosystem,AI,Talk,57,TBC,TBC
16 November 2018,Independant Event,"Tunis, Tunis",Dauphine,Anis Belkhir,Entrepreneurship in a nutshell,Business,Talk,30,https://www.facebook.com/manai.elyes/posts/10213146297639208,
10 November 2018,Devfest 2018,Sfax,Park ,GDG Sfax,Firebase,Tech,Workshop,40,,
24 October 2018,Hult Prize ENAU 2018 Launch,"Sidi Bou Said, Tunis",ENAU,Hult Prize ENAU,Why Participate in Hult Prize,Business,Talk,48,https://www.facebook.com/events/478420942649718/,https://drive.google.com/drive/folders/1pCsCts3XDgnq55qtELZ9kUfeFH6BK9dv?usp=sharing
21 October 2018,Tedx Tunis,"Tunis, Tunis",Culture City,Tedx Tunis,Achieving results through good stress,Motivational,Talk,230,https://www.facebook.com/events/157876651823168,https://drive.google.com/open?id=1gkkYHDI5coXe3EchoytJG3wS0OJaRWfp
23 August 2018,Independant Talk,"Lac, Tunis",GoMyCode,Elyes Manai,CS50,Tech,Workshop,30,https://www.facebook.com/mhmd96.essam/posts/1351403964994013,
12 November 2017,Independant Session,"Tadhamon, Ariana",Enda,GoMyCode & Enda,Wordpress,Tech,Workshop,40,https://www.facebook.com/manai.elyes/posts/10210592725321496,
23 March 2017,Netlinks Trainings,Manouba,ISAMM,Netlinks ISAMM,Sponsoring,Business,Workshop,7,,
23 December 2016,Netlinks Winter Trainings,Manouba,ISAMM,Netlinks ISAMM,Fundamentals of Mobile Development,Tech,Workshop,7,https://www.facebook.com/NetLinks.isamm/photos/a.1826352847648969/1846024555681798/?type=3,
1 January 2000,Study.tn Community Gathering,"Tunis, Tunis",Le15,Study.tn,My Career & past,Motivational,Talk,50,,
1 January 2000,Independant Talk,"Tunis, Tunis",Le15,Simplon,Sharing my Experience,Motivational,Talk,30,,
1 January 2000,ENICAR IEEE opening,"Charguia, Ariana",ENICAR,IEEE ENICAR,Motivational Speech,Motivational,Talk,70,,
1 January 2000,Independant Event,"Lac, Tunis",GoMyCode,SMC,University Orientation,AI,Talk,12,,
1 January 2000,Spark Days,"Denden, Manouba",ESSTED,"spark enit, isg, fseg, essted",Motivational Speech,Motivational,Talk,200,,
1 January 2000,SESAME IEEE opening,"Ghazela, Ariana",SESAME,IEEE SESAME,Motivational Speech,Motivational,Talk,23,,
2018,------,"Lac, Tunis",GoMyCode,GoMyCode,Web Development,Tech,Teaching,300,,
2017,------,"Ghazela, Ariana",SESAME,GMC + MentorNations,Web Development,Tech,Teaching,30,https://www.facebook.com/photo/?fbid=10210182375583009&set=a.2447927484713,
